CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	SPANISH_POS	LINE_IN_SOURCE
1901	SHOVEL	pala	4.4200	1	9	NOUN	4770
1902	BETRAY	traicionar	7.6000	3	11	VERB	6602
1905	EAGLE	águila	5.2200	2	10	NOUN	187
191	NUT	nuez	5.4600	3	11	NOUN	4591
1914	DEBT	deuda	9.1200	4	11	NOUN	2038
1915	FIR	abeto	7.6600	2	11	NOUN	11
1917	TIE	atar	4.4400	1	9	VERB	548
1920	DREAM (SOMETHING)	soñar	4.5800	1	10	VERB	6227
1923	ROUGH	áspero	7.7000	3	11	ADJECTIVE	530
1925	ARTERY	arteria	9.8400	6	11	NOUN	487
1929	STUDY	estudiar	5.8000	3	11	VERB	2618
1934	BEGGAR	mendigo	6.6400	1	11	NOUN	4193
1937	THERE	allí	3.4400	1	10	ADVERB	252
194	FAMILY	familia	3.4400	1	7	NOUN	2734
1941	SOLDIER	soldado	5.8600	2	10	NOUN	6201
1942	NEAR	cerca	4.2000	1	10	ADPOSITION	1162
1943	CROWN (OF HEAD)	corona	4.5400	2	7	NOUN	1617
1945	IDOL	ídolo	8.4200	2	11	NOUN	3390
1950	BEECH	haya	7.1400	3	11	VERB	3229
1961	NECKLACE	collar	3.6400	1	7	NOUN	1375
197	OTHER	otro	4.6600	1	9	DETERMINER	4735
1970	CANOE	canoa	7.0200	4	11	NOUN	1004
1973	DEMON	demonio	5.9400	2	11	NOUN	1907
1974	CENTIPEDE	ciempiés	5.1000	2	9	NOUN	1250
1981	WIDOWER	viudo	8.4200	4	11	NOUN	6952
199	FAMINE	hambre	2.8600	1	9	NOUN	3215
1992	MORE	más	3.3400	1	9	ADVERB	4120
1994	COLLARBONE	clavícula	9.5000	3	11	NOUN	1311
1998	COMMAND	mandar	5.6000	1	10	VERB	4039
2	DUST	polvo	5.3800	3	9	NOUN	5217
2005	MASK	máscara	5.2800	1	10	NOUN	4124
2007	BOLT (OF LIGHTNING)	rayo	5.1400	2	8	NOUN	5604
2008	RESCUE	salvar	5.8000	2	11	VERB	5962
2009	DOG	perro	2.5800	1	7	NOUN	5019
2014	GO DOWN (DESCEND)	bajar	4.0600	1	7	VERB	643
2019	HAMMOCK	hamaca	6.6200	3	10	NOUN	3214
2023	CROWD	multitud	8.1600	3	11	NOUN	4428
203	MARRY	casarse	5.9800	1	10	VERB	1081
2058	STOOL	banco	6.1400	3	11	NOUN	659
2060	STORY	cuento	3.2200	1	8	NOUN	1758
2070	COMB (VERB)	peinar	3.4800	1	11	VERB	4934
208	NASAL MUCUS (SNOT)	moco	2.8400	1	6	NOUN	4309
210	LIFE	vida	4.6800	1	10	NOUN	6902
2106	MALE PERSON	varón	6.1600	2	11	NOUN	6793
2108	RAINING OR RAIN	llover	3.7600	2	11	VERB	3931
2148	PICK	coger	3.6600	1	11	VERB	1350
215	LIE DOWN	acostarse	3.9600	1	10	VERB	80
218	FINE (PENALTY)	multa	8.2449	3	11	NOUN	4423
2206	RABIES	rabia	6.2800	3	11	NOUN	5564
221	FIRE	fuego	3.6800	1	7	NOUN	2934
2235	CLEAN (SOMETHING)	limpiar	3.7600	2	7	VERB	3864
2246	BELL	campana	4.2800	2	8	NOUN	979
2252	PATH	camino	4.5000	1	8	NOUN	973
2260	FEMALE (OF PERSON)	hembra	5.5000	1	11	NOUN	3248
227	FISH	pez	2.4000	1	6	NOUN	5070
2292	GLASSES	gafas	3.9800	1	11	NOUN	2975
230	SWEEP	barrer	4.3800	1	8	VERB	690
231	SHAVE	afeitar	6.7600	4	11	VERB	139
232	FLEA	pulga	5.8600	3	9	NOUN	5476
2366	ONION	cebolla	4.3400	1	8	NOUN	1136
239	FLOWER	flor	2.6800	1	7	NOUN	2846
24	PRAY	orar	7.3600	3	11	VERB	4694
2407	BIRTHDAY	cumpleaños	2.7800	1	6	NOUN	1781
244	LEFT	izquierdo	4.4600	2	10	ADJECTIVE	3641
2440	PINEAPPLE	piña	4.2000	1	11	NOUN	5121
245	BROOM	escoba	4.2000	1	8	NOUN	2455
249	FOG	neblina	6.9400	3	11	NOUN	4493
2493	BOIL	hervir	6.5400	2	11	VERB	3268
250	LIGHT (COLOR)	claro	5.8400	1	11	ADVERB	1299
2548	BARREL	barril	6.9000	1	11	NOUN	694
255	SERVANT	sirviente	7.0200	3	11	NOUN	6166
256	FOOD	pizza	5.7000	2	10	NOUN	5141
2575	DO OR MAKE	hacer	4.1200	1	9	VERB	3193
2578	PENCIL	lápiz	2.6800	1	11	NOUN	3754
258	CALM	calma	7.9800	2	11	NOUN	950
2580	HELICOPTER	helicóptero	4.6000	2	9	NOUN	3247
2615	FLESH OR MEAT	carne	4.1600	1	11	NOUN	1058
2618	CAMERA	cámara	5.2600	1	11	NOUN	959
2623	FLAG	bandera	5.3400	1	10	NOUN	663
2627	ORANGE (FRUIT)	naranja	3.2600	1	6	NOUN	4469
2638	FISHING	pescar	5.4400	1	10	VERB	5055
2648	HAIR (HEAD)	cabello	4.5400	1	10	NOUN	897
27	AIR	aire	4.3800	1	11	NOUN	197
272	TONGS	tenazas	6.9400	1	11	NOUN	6417
273	DOUGH	masa	7.8000	2	11	NOUN	4121
278	AWL	punzón	6.3200	2	11	NOUN	5490
2783	SCALES (MEASURE INSTRUMENT)	báscula	7.6200	4	11	NOUN	699
2831	PENGUIN	pingüino	4.4200	1	10	NOUN	5111
2900	PROTECT	guardar	4.0600	1	9	VERB	3139
2965	PAW	pata	4.1000	1	9	NOUN	4891
297	CROOKED	torcido	5.6400	2	10	ADJECTIVE	6558
2992	TIP (OF OBJECT)	punta	6.0400	1	11	NOUN	5482
3	BRAVE	valiente	5.8800	3	11	ADJECTIVE	6770
3072	MISPLACE	perder	5.1200	2	10	VERB	4982
3083	BALLOON	globo	2.4200	1	8	NOUN	3064
3084	BLACKBOARD	pizarra	3.9800	3	7	NOUN	5140
3085	CARROT	zanahoria	3.6600	1	8	NOUN	7020
3086	COMPUTER	ordenador	7.8000	2	11	NOUN	4699
3088	ENVELOPE	sobre	5.5600	2	8	ADPOSITION	6175
3089	GIRAFFE	jirafa	3.4000	1	8	NOUN	3665
3090	GUITAR	guitarra	4.5000	2	8	NOUN	3154
3091	LEMON	limón	3.3000	1	8	NOUN	3860
3092	LIGHTER	mechero	5.5400	2	10	NOUN	4161
3093	LIPSTICK	pintalabios	5.1400	1	11	NOUN	5115
3094	PAINTBRUSH	brocha	7.0600	1	11	NOUN	849
3095	POSTMAN	cartero	5.0800	2	8	NOUN	1076
3096	RACKET	raqueta	5.1000	2	10	NOUN	5589
3099	SOFA	sillón	4.6200	1	11	NOUN	6139
31	PAN	sartén	4.5000	2	10	NOUN	5992
3101	SWING	columpio	3.1600	1	8	NOUN	1392
3102	TANK	tanque	6.4600	3	11	NOUN	6346
3104	THERMOMETER	termómetro	4.6500	1	10	NOUN	6459
3105	UMBRELLA	paraguas	3.5600	1	7	NOUN	4824
3106	WARDROBE	armario	3.8400	1	9	NOUN	463
3107	WHISTLE (INSTRUMENT)	silbato	5.5600	1	11	NOUN	6136
3118	IRON (CLOTHES)	planchar	6.1000	2	9	VERB	5147
3120	MOP (SOMETHING)	fregar	5.5200	1	11	VERB	2905
3122	PAINT (SOMETHING)	pintar	2.5200	1	8	VERB	5116
3129	SKATE	patinar	5.1000	2	8	VERB	4899
3138	STRAWBERRY	fresa	3.1800	1	8	NOUN	2909
317	PIRANHA	caribe	8.6600	4	11	NOUN	1046
318	FOOTPRINT	huella	6.0200	2	11	NOUN	3346
3217	TIN OR TINPLATE	estaño	10.1200	5	11	NOUN	2566
322	FIG	higo	5.8000	2	11	NOUN	3283
323	FAT (ORGANIC SUBSTANCE)	grasa	7.3600	2	11	NOUN	3115
326	CLOAK	capa	5.5200	2	10	NOUN	1018
3306	NAIL	clavar	5.6800	3	10	VERB	1308
3351	STOP DOING	parar	4.0800	2	9	VERB	4830
3405	RULER	regla	5.1200	2	11	NOUN	5684
344	TREE TRUNK	tronco	5.4600	2	10	NOUN	6675
3462	FLAX OR LINEN	lino	8.6939	4	11	NOUN	3873
352	UNTIE	desatar	6.0800	3	11	VERB	1952
353	STRIKE	golpear	5.4200	1	11	VERB	3079
356	SHEARS	tijeras	3.6600	1	9	NOUN	6498
357	HANG UP	colgar	4.6600	1	9	VERB	1371
3653	COOKING POT	olla	6.1600	2	11	NOUN	4668
3654	TAKE OUT	sacar	4.6900	1	9	VERB	5922
367	RIDE	montar	5.6600	2	11	VERB	4353
3675	ZEBRA	cebra	4.2600	2	11	NOUN	1137
369	OWE	deber	7.0600	1	11	NOUN	1827
371	PICK UP	recoger	4.2041	1	10	VERB	5643
380	WRINKLED	arrugado	4.8000	1	7	ADJECTIVE	484
387	SLING	honda	9.0000	4	11	NOUN	3311
388	FISHNET	red	6.4800	2	11	NOUN	5662
389	FISH TRAP	nasa	9.5200	5	11	NOUN	4475
390	PUNISHMENT	castigo	4.8600	2	11	NOUN	1104
391	BLESS	bendecir	6.9700	3	11	VERB	732
399	PLANTAIN	plátano	3.2600	1	9	NOUN	5156
411	GOURD	calabaza	5.8600	2	10	NOUN	932
420	FOREST	bosque	4.4000	1	9	NOUN	818
446	LOWER ARM	antebrazo	8.5600	3	11	NOUN	355
474	DRESS	vestido	3.0800	1	8	NOUN	6882
477	LATE	tarde	3.6400	1	9	ADVERB	6361
478	LIP	labio	4.2600	1	11	NOUN	3724
480	PLATE	plato	3.3000	1	6	NOUN	5160
482	NOBLE	noble	8.4000	2	11	ADJECTIVE	4538
492	THREE	tres	2.2400	1	6	DETERMINER	6650
493	FIVE	cinco	3.1000	1	10	DETERMINER	1271
497	SCAR	cicatriz	5.3600	2	11	NOUN	1242
498	CALF OF LEG	pantorrilla	8.3200	2	11	NOUN	4804
501	LIFT	levantar	4.4000	1	7	VERB	3825
502	NAIL (TOOL)	clavo	5.7200	2	11	NOUN	1312
503	FROG	rana	3.6400	1	9	NOUN	5579
504	LEARN	aprender	4.5400	2	10	VERB	418
505	PARENTS	padres	2.6400	1	6	NOUN	4755
506	MAIZE	maíz	5.3800	1	11	NOUN	4012
509	CERTAIN	seguro	7.0200	2	11	ADJECTIVE	6034
522	WOLF	lobo	3.7000	1	8	NOUN	3934
539	NEST	nido	4.4200	1	8	NOUN	4521
571	STING	picar	4.5200	1	11	VERB	5076
575	TREAD	pisar	3.7600	1	9	VERB	5132
576	DANDRUFF	caspa	7.8200	4	11	NOUN	1096
578	KISS	besar	3.2600	1	10	VERB	740
584	DIFFICULT	difícil	4.9600	2	9	ADJECTIVE	2080
585	BOOT	bota	3.9800	1	9	NOUN	819
587	ANT	hormiga	4.0200	1	8	NOUN	3320
588	BROKEN	quebrado	9.9800	5	11	ADJECTIVE	5508
590	NAKED	desnudo	3.3200	1	8	ADJECTIVE	1997
593	POTATO	papa	2.2000	1	10	NOUN	4809
596	POSTAGE STAMP	sello	6.8200	1	11	NOUN	6040
6	EARTHQUAKE	terremoto	6.4400	2	11	NOUN	6463
602	HIDE (CONCEAL)	esconder	3.6600	1	8	VERB	2458
604	GLASS	cristal	4.1200	1	8	NOUN	1695
605	GRAIN	grano	7.0400	2	11	NOUN	3111
606	GRASS	hierba	3.9800	1	8	NOUN	3279
607	GRASSHOPPER	saltamontes	4.7400	1	9	NOUN	5952
610	PORT	puerto	5.5400	2	11	NOUN	5470
615	HORSE	caballo	3.4200	1	8	NOUN	893
617	ICE	hielo	4.4800	1	9	NOUN	3277
619	ANIMAL	animal	3.2400	1	9	NOUN	339
620	INSECT	insecto	5.2600	2	11	NOUN	3538
621	IRON	hierro	6.1600	2	10	NOUN	3280
622	ISLAND	isla	4.4200	1	10	NOUN	3635
624	LAKE	lago	6.1000	2	11	NOUN	3741
625	LAMP	lámpara	3.7800	1	8	NOUN	3745
627	LEAD (CHEMICAL ELEMENT)	plomo	7.6800	1	11	NOUN	5172
628	LEAF	hoja	3.8800	1	7	NOUN	3300
630	LIGHT (RADIATION)	luz	3.1800	1	7	NOUN	3982
631	LIVESTOCK	ganado	6.1800	1	11	NOUN	2991
632	LIZARD	lagartija	4.9200	1	10	NOUN	3739
633	MARKET	mercado	5.0600	1	9	NOUN	4209
635	MILK	leche	2.6400	1	6	NOUN	3785
636	MILL	molino	5.2400	2	9	NOUN	4332
638	MOTORCYCLE	motocicleta	6.5400	3	11	NOUN	4384
639	MOUNTAIN	montaña	3.7200	1	9	NOUN	4351
64	PIN	alfiler	5.7400	1	10	NOUN	234
640	MUD	barro	4.4600	1	11	NOUN	696
641	MUSHROOM	seta	6.4000	3	11	NOUN	6103
643	NEED (NOUN)	necesidad	7.7200	2	11	NOUN	4495
644	OAK	roble	6.9400	3	11	NOUN	5833
645	OCEAN	océano	6.2800	3	11	NOUN	4625
646	ASH	ceniza	6.4200	2	11	ADJECTIVE	1150
647	PAINT (PIGMENTS)	pintura	4.0000	1	10	NOUN	5118
648	PAPER	papel	3.1600	1	8	NOUN	4812
653	PLANT (VEGETATION)	planta	4.6531	1	10	NOUN	5150
655	POISON	veneno	6.6200	2	11	NOUN	6838
657	PRICE	precio	5.2400	1	10	NOUN	5280
658	RAIN (PRECIPITATION)	lluvia	2.9600	1	6	NOUN	3932
661	RELIGION	religión	5.0600	2	8	NOUN	5705
662	BATTERY	pila	5.1800	2	10	NOUN	5099
665	BEE	abeja	4.3000	1	9	NOUN	9
666	RIVER	río	4.8800	2	9	NOUN	5823
667	ROAD	carretera	4.6400	1	9	NOUN	1066
670	ROOT	raíz	6.1400	1	10	NOUN	5574
671	SAND	arena	3.4600	1	7	NOUN	456
672	EARLY	temprano	5.1000	1	10	ADVERB	6413
674	MOUTH	boca	2.3400	1	7	NOUN	781
677	AXE	hacha	5.9000	2	11	NOUN	3198
678	BEARD	barba	3.3600	1	8	NOUN	675
680	BREAK (DESTROY OR GET DESTROYED)	romper	4.0600	1	9	VERB	5857
681	DESTROY	destruir	6.0600	1	11	VERB	2022
683	PERSON	persona	4.2000	1	11	NOUN	5029
686	EASY	fácil	4.7200	1	9	ADJECTIVE	2715
688	LUNG	pulmón	7.7600	5	11	NOUN	5478
690	BOTTOM	fondo	5.0800	2	10	NOUN	2864
691	SEASON	estación	6.6400	2	11	NOUN	2552
692	BRING	traer	3.6000	1	8	VERB	6598
695	GO	ir	4.2000	1	9	VERB	3624
698	WISE	sabio	8.0800	5	11	NOUN	5915
700	CARRY	llevar	5.1000	1	9	VERB	3923
703	SOON	pronto	4.8600	1	10	ADVERB	5399
704	CLEAN	limpio	3.8600	1	7	ADJECTIVE	3866
706	DARK	oscuro	4.0200	1	8	ADJECTIVE	4727
709	TEACH	enseñar	4.3000	1	10	VERB	2376
710	WHEEL	rueda	3.0400	1	5	NOUN	5883
711	TALL	alto	3.4400	1	7	ADJECTIVE	269
712	RICH	rico	4.6400	1	10	ADJECTIVE	5808
713	STEAL	robar	5.8200	2	11	VERB	5832
714	SEED	semilla	5.3000	1	11	NOUN	6050
715	SHOUT	gritar	4.0200	1	9	VERB	3125
717	SWEET	dulce	4.1000	1	10	ADJECTIVE	2217
718	PAY	pagar	5.3800	2	10	VERB	4760
72	CLAW	garra	6.1200	1	11	NOUN	3006
721	LOW	bajo	4.3200	1	8	ADPOSITION	644
724	READ	leer	4.1000	2	6	VERB	3792
728	FIRST	primero	4.3400	1	11	ADJECTIVE	5343
729	DAWN	madrugada	7.3600	3	11	NOUN	3995
73	BEAK	pico	5.1400	1	10	NOUN	5078
730	SNAKE	víbora	7.4600	3	11	NOUN	6893
731	BEVERAGE	bebida	4.9800	1	11	NOUN	724
735	OWL	búho	5.2200	2	9	NOUN	870
737	LIGHT (IGNITE)	encender	4.9000	2	10	VERB	2328
738	THING	cosa	3.0200	1	6	NOUN	1652
739	FEED	nutrir	8.7200	2	11	VERB	4598
741	DRIVE	conducir	5.2000	2	11	VERB	1479
742	END (OF SPACE)	final	4.4200	2	10	NOUN	2813
743	END (OF TIME)	fin	4.7400	1	9	NOUN	2811
744	EGG	huevo	3.3600	1	7	NOUN	3353
745	SHELF	repisa	5.5000	2	9	NOUN	5724
747	BICYCLE	bicicleta	3.7600	1	6	NOUN	749
749	ENTER	entrar	3.9600	1	9	VERB	2395
753	PUPIL (STUDENT)	alumno	5.2800	2	10	NOUN	274
755	DENY	negar	6.2200	1	11	VERB	4501
757	BUTTON	botón	3.3600	1	6	NOUN	826
759	SILVER	plata	6.7600	2	11	NOUN	5155
760	KNOT	nudo	5.0800	1	9	NOUN	4580
763	SKIN	piel	3.7600	1	11	NOUN	5087
765	MOVE	mover	4.3600	1	8	VERB	4387
767	CORPSE	cadáver	8.3600	3	11	NOUN	917
768	LUNCH	almuerzo	3.9400	1	9	NOUN	261
769	ROOF	tejado	5.5000	2	11	NOUN	6386
771	HAT	sombrero	3.4400	1	7	NOUN	6217
772	BELT	cinturón	5.1200	2	10	NOUN	1276
773	HAVE	tener	3.5200	1	9	VERB	6428
777	FLUTE	flauta	5.1400	2	8	NOUN	2837
778	SMOKE (EXHAUST)	humo	4.0600	2	11	NOUN	3369
779	PART	pedazo	5.2800	1	11	NOUN	4925
78	THAT	aquel	5.1000	1	10	DETERMINER	434
781	FEAR (FRIGHT)	miedo	3.6000	1	9	NOUN	4245
782	DEFEAT	derrota	7.7000	2	11	NOUN	1939
783	VICTORY	victoria	7.0800	1	11	NOUN	6900
784	SNOW	nieve	4.1600	1	7	NOUN	4524
788	SOAP	jabón	3.1600	1	6	NOUN	3643
789	PEOPLE	gente	4.2000	2	10	NOUN	3036
790	READY	listo	4.8000	1	9	ADJECTIVE	3883
794	PEN	bolígrafo	4.2400	1	11	NOUN	793
796	NIPPLE	pezón	6.6200	1	11	NOUN	5071
797	TESTICLES	testículo	9.0200	1	11	NOUN	6475
799	WRIST	muñeca	2.6600	1	9	NOUN	4433
800	THIGH	muslo	4.7200	1	11	NOUN	4449
801	RIB	costilla	7.4600	3	11	NOUN	1658
803	ANKLE	tobillo	5.1000	1	9	NOUN	6524
809	TROUSERS	pantalones	3.4200	1	11	NOUN	4801
811	SOUL	alma	7.1600	2	11	NOUN	253
812	SLAVE	esclavo	8.0200	4	11	ADJECTIVE	2453
816	HALF	mitad	4.9600	2	9	NOUN	4302
817	THEY	ellos	3.9800	1	7	PRONOUN	2285
819	STOMACH	estómago	5.5800	1	10	NOUN	2593
82	ANGER	enojo	8.3800	2	11	NOUN	2368
829	RAFTER	viga	8.8000	4	11	NOUN	6915
834	BUTTOCKS	culo	2.6800	1	11	NOUN	1773
837	BLUE	azul	2.7800	1	5	ADJECTIVE	629
843	SPIDER	araña	3.3200	1	8	NOUN	442
845	MURDER	asesinar	7.4400	4	11	VERB	511
848	THIRST	sed	2.5400	1	6	NOUN	6017
850	SQUARE	cuadrado	4.1600	1	8	ADJECTIVE	1717
857	STONE	piedra	3.3400	1	7	NOUN	5085
859	STOVE	estufa	6.5800	2	11	NOUN	2622
861	JUDGE	juez	8.4400	2	11	NOUN	3690
862	SUGAR	azúcar	3.7600	1	7	NOUN	626
867	GLOVE	guante	4.3400	2	10	NOUN	3135
871	RATTLESNAKE	cascabel	5.5800	1	10	NOUN	1083
875	SHOEMAKER	zapatero	6.0200	1	11	NOUN	7021
877	MASON	albañil	6.4600	2	11	NOUN	207
878	HELL	infierno	7.6000	2	11	NOUN	3494
882	PARROT	loro	3.9000	2	8	NOUN	3954
884	SHARE	repartir	5.4600	1	11	VERB	5719
887	BITTER	amargo	4.3400	1	9	ADJECTIVE	285
889	FLAME	llama	5.1000	1	10	VERB	3888
89	NATIVE COUNTRY	patria	9.5600	4	11	NOUN	4903
890	MULE	mulo	7.4490	2	11	NOUN	4422
892	TIME	tiempo	5.0400	1	10	NOUN	6485
894	TOAD	sapo	4.0800	2	11	NOUN	5984
896	ANACONDA (WATER BOA)	anaconda	8.4400	3	11	NOUN	314
90	INNOCENT	inocente	8.0000	3	11	ADJECTIVE	3530
906	TREE	árbol	2.6200	1	6	NOUN	445
908	DRUM	tambor	3.9200	1	9	NOUN	6340
911	TEMPLE	iglesia	4.6200	2	10	NOUN	3391
913	CROW	cuervo	6.3200	2	11	NOUN	1765
920	GRAPE	uva	4.4600	1	11	NOUN	6749
921	VALLEY	valle	6.6600	1	11	NOUN	6773
922	PEAR	pera	2.8400	1	6	NOUN	4976
923	LOVE	querer	3.9800	1	11	VERB	5526
926	RICE	arroz	3.6800	1	7	NOUN	482
93	DRAW MILK	ordeñar	6.4200	1	11	VERB	4701
930	VILLAGE	pueblo	5.0000	2	11	NOUN	5458
937	BIRD	pájaro	3.4200	1	8	NOUN	4768
938	MARE	yegua	5.1200	1	11	NOUN	7006
942	HONEY	miel	4.4200	1	9	NOUN	4247
943	WATERFALL	cascada	7.2400	3	11	ADJECTIVE	1085
945	SPEAR	lanza	6.4200	2	11	VERB	3750
946	BLOOD	sangre	4.1000	1	11	NOUN	5974
948	WATER	agua	1.9400	1	6	NOUN	179
950	SEAGULL	gaviota	5.6400	2	9	NOUN	3018
951	WEAPONS	armas	6.4400	2	10	NOUN	464
953	RAPE	violación	9.3000	6	11	NOUN	6927
956	FLEE	huir	7.2200	2	10	VERB	3356
957	WHALE	ballena	4.8600	2	9	NOUN	650
960	WIND	viento	3.8800	1	7	NOUN	6912
962	WOMAN	mujer	4.5400	1	9	NOUN	4418
963	BOOK	libro	3.3200	1	6	NOUN	3844
964	WOOL	lana	6.0800	1	11	NOUN	3746
965	WORLD	mundo	4.8000	1	9	NOUN	4430
974	TOBACCO	tabaco	6.6000	2	11	NOUN	6322
977	ARROW	flecha	5.5000	3	11	NOUN	2839
978	WAVE	saludar	3.2000	1	7	VERB	5957
98	ALL	todos	3.9400	1	11	DETERMINER	6535
980	HEEL	talón	6.1000	3	11	NOUN	6337
981	ELBOW	codo	3.5400	1	7	NOUN	1346
984	WORK (LABOUR)	trabajar	5.8600	1	11	VERB	6589
986	TOMATO	tomate	3.6000	1	8	NOUN	6544
987	REMAIN	quedar	6.3600	1	11	VERB	5514
994	BOW	arco	6.3400	2	11	NOUN	449
996	DEAF	sordo	5.0600	2	8	ADJECTIVE	6233
998	PUT	meter	5.0600	1	10	VERB	4228
